Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Onur ps5,NFAPPL-01-IPAD12=1-4019A454BF0E931BEEB268A33790645955FC7A6A9DFA55085FE948334333D141,Apple iPad 10.2 inch 9th Gen Wi-Fi,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD12=1-28A576F492E06E8D0B24ABE5A704EAA2E987481C4AF2DD0E809FE30583876222,Apple iPad 10.2 inch 9th Gen Wi-Fi,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD13=16-26D9A230F744819A88C005D8F68C4AD4C4F95F19C6FB09F94CAC888CFB49B2CB,Apple iPad Air 5th Gen Wi-Fi iPad,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,1970-01-01T00:00:00.000
Onur ps5,NFPS5-001-3ZHM8FLAJGNW2L6URLMFT6LQPD,Sony PS5,2022-12-15T17:18:14.732,2023-08-13T14:35:49.758,2022-12-15T17:18:32.783,2023-08-13T14:35:49.758,2022-12-15T17:18:14.732,2023-08-13T14:35:49.758,2022-12-15T17:18:32.783,2023-08-13T14:35:49.758,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE15=3-10B3F45254A9E99502239F1715974CF2E26B6D91BED1771FC54D40810D6B4F2E,Apple iPhone 14 Pro Max iPhone,2023-03-25T10:42:53.792,2023-07-22T00:32:26.988,2023-07-22T00:32:26.988,2023-07-22T00:32:26.988,2023-03-25T10:42:53.792,2023-07-22T00:32:26.988,2023-07-22T00:32:26.988,2023-07-22T00:32:26.988,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-JG9G4JTFPCT2ULAPRLGHFURK5CX7KU,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=8-6CE3292B797C5CE7FC18DE76A349E6FD70B55431ACC1EDED8B9CE434807A0FED,Apple iPhone SE Gen 2 iPhone,2021-12-10T13:20:19.865,2023-07-03T07:55:07.040,2021-12-16T15:42:31.732,2023-04-26T19:57:14.366,2021-12-10T13:20:19.865,2023-07-03T07:55:07.040,2021-12-16T15:42:31.732,2023-04-26T19:57:14.366,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,Apple iPhone 11,2021-06-25T15:15:31.164,2023-05-13T04:00:05.988,2022-01-02T13:57:58.972,2023-05-13T04:00:05.988,2021-06-25T15:15:31.164,2023-05-13T04:00:05.988,2022-01-02T13:57:58.972,2023-05-13T04:00:05.988,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-K1EDVY9R5LVV7E1HVDD139LCH7JU7J,Chrome PC (Cadmium),2023-03-19T08:21:57.468,2023-03-19T16:58:07.576,2023-03-19T08:21:57.468,2023-03-19T16:58:07.576,2023-03-19T08:21:57.468,2023-03-19T16:58:07.576,2023-03-19T08:21:57.468,2023-03-19T16:58:07.576,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-K1EFHE26Q6N984HNQRN8QTK70LPP6A,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-K1EF8GC0GJ8DHEEPWEJMLN5WM7567C,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-K19Z23PNKTYW1DKJFALFJNCXTUGU9G,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,WWW-BROWSE-K19Z24G4N8KTACHEKPLCEF5Y4MP3E1,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-JYZMP7NVMD0CTJ22AP7N1ATA67QD5C,Chrome PC (Cadmium),2023-02-17T19:20:39.928,2023-02-17T20:07:31.752,2023-02-17T19:22:07.883,2023-02-17T20:07:31.752,2023-02-17T19:20:39.928,2023-02-17T20:07:31.752,2023-02-17T19:22:07.883,2023-02-17T20:07:31.752,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=1-5628C974B4EE229941516F260085AAF8C618119ECD1129B7BFD8348A7AC20225,Apple iPhone 11,2021-12-12T18:34:31.070,2023-02-10T06:58:02.190,2021-12-12T18:34:31.070,2023-01-25T19:26:44.243,2021-12-12T18:34:31.070,2023-02-10T06:58:02.190,2021-12-12T18:34:31.070,2023-01-25T19:26:44.243,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-JLPM28E9GF1A2L07HW9GKC39CYK0R5,Chrome PC (Cadmium),2022-10-03T21:34:06.191,2022-11-06T11:45:44.515,2022-10-04T21:36:00.136,2022-11-06T11:45:44.515,2022-10-03T21:34:06.191,2022-11-06T11:45:44.515,2022-10-04T21:36:00.136,2022-11-06T11:45:44.515,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-J7Z8VYGVJAVR6M57FFJYH2J8TR3TY1,Chrome PC (Cadmium),2022-05-14T23:57:59.704,2022-09-13T21:22:51.888,2022-05-14T23:57:59.704,2022-09-13T21:22:51.888,2022-05-14T23:57:59.704,2022-09-13T21:22:51.888,2022-05-14T23:57:59.704,2022-09-13T21:22:51.888,1970-01-01T00:00:00.000
Onur ps5,NFANDROID1-PRV-P-HUAWEBLA-L09-7440-0148B5F72AADCC41D3838F03B8452713723914BBCFF608D03AEC948F0A5E5ED01,DefaultWidevineAndroidPhone,2022-01-09T18:08:22.339,2022-08-13T16:43:08.409,2022-01-09T18:08:22.339,2022-08-13T16:43:08.409,2022-01-09T18:08:22.339,2022-08-13T16:43:08.409,2022-01-09T18:08:22.339,2022-08-13T16:43:08.409,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-JE8NMZP2QUQG1MCHU7R50RK8EK5644,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-FHYJ8XVJQUJWATDFKGKKQT4P997TC1,Chrome PC (Cadmium),2021-12-15T15:49:20.873,2022-05-13T09:45:10.433,2021-12-15T15:49:20.873,2022-05-13T09:45:10.433,2021-12-15T15:49:20.873,2022-05-13T09:45:10.433,2021-12-15T15:49:20.873,2022-05-13T09:45:10.433,1970-01-01T00:00:00.000
Onur ps5,ARCODM4K5100000000000000000000000000134429,MStar PureTurnkey51 Arcelik ODM4K Smart TV,2021-12-25T11:20:14.702,2022-04-12T18:12:36.156,2021-12-25T11:20:14.702,2022-04-12T18:12:36.156,2021-12-25T11:20:14.702,2022-04-12T18:12:36.156,2021-12-25T11:20:14.702,2022-04-12T18:12:36.156,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-J4G42TL96UK0GDKHY0MWLGJ2HPV7TA,Chrome PC (Cadmium),2022-04-01T23:57:21.788,2022-04-02T00:06:48.195,2022-04-02T00:01:15.307,2022-04-02T00:01:15.307,2022-04-01T23:57:21.788,2022-04-02T00:06:48.195,2022-04-02T00:01:15.307,2022-04-02T00:01:15.307,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE11=8-215CDFC5EB09D52AE6758A70689D1DAAC4A38D3AFE6EF68349B5ECD1EFE2E656,Apple iPhone XR,2021-12-15T19:47:00.363,2022-03-18T01:17:29.502,2021-12-15T19:47:00.363,2022-03-18T01:17:29.502,2021-12-15T19:47:00.363,2022-03-18T01:17:29.502,2021-12-15T19:47:00.363,2022-03-18T01:17:29.502,1970-01-01T00:00:00.000
