Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Onur ps5,Dhanak_hook_03_16x9,Chrome PC (Cadmium),2023-11-24 20:31:30,TR,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":701,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2718,""mediaOffsetMs"":1852}]"
Onur ps5,Kuch Kuch Hota Hai_hook_01_16x9,Chrome PC (Cadmium),2023-11-24 20:31:29,TR,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":531,""mediaOffsetMs"":0}]"
Onur ps5,Ponyo on the Cliff by the Sea_hook_03_16x9,Chrome PC (Cadmium),2023-11-24 20:31:27,TR,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":642,""mediaOffsetMs"":0}]"
Onur ps5,Main Character Intro Clip: Shaun the Sheep: The Flight Before Christmas,Chrome PC (Cadmium),2023-11-24 20:31:24,TR,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":750,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1687,""mediaOffsetMs"":743}]"
Onur ps5,A Whisker Away PVS Clip 2,Chrome PC (Cadmium),2023-11-24 20:31:22,TR,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":588,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2056,""mediaOffsetMs"":1325}]"
Onur ps5,Klaus (Clip Standard 2),Chrome PC (Cadmium),2023-11-24 20:31:20,TR,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":594,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1536,""mediaOffsetMs"":868}]"
Onur ps5,Act 2 Conflict Clip: The Adam Project,Chrome PC (Cadmium),2023-11-24 20:31:16,TR,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":357,""mediaOffsetMs"":null}]"
Onur ps5,The Terminal_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:31:12,TR,"[{""eventType"":""start"",""sessionOffsetMs"":12,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":695,""mediaOffsetMs"":0}]"
Onur ps5,Act 2 Conflict Clip: Too Old for Fairy Tales,Chrome PC (Cadmium),2023-11-24 20:31:08,TR,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":355,""mediaOffsetMs"":0}]"
Onur ps5,Cloudy with a Chance of Meatballs_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:31:06,TR,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":504,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":878,""mediaOffsetMs"":244}]"
